iter	Passed	Remaining
0	19	15948
1	35	13987
2	49	13127
3	62	12480
4	75	12074
5	89	11830
6	103	11759
7	115	11437
8	126	11144
9	139	11000
10	150	10762
11	161	10636
12	178	10781
13	191	10770
14	204	10714
15	215	10559
16	228	10525
17	240	10461
18	253	10420
19	267	10417
20	277	10307
21	291	10298
22	303	10245
23	315	10188
24	326	10136
25	337	10049
26	349	10007
27	361	9971
28	372	9912
29	384	9870
30	395	9821
31	407	9788
32	420	9761
33	431	9720
34	442	9663
35	452	9605
36	467	9634
37	478	9595
38	489	9555
39	501	9533
40	512	9494
41	524	9466
42	536	9448
43	548	9419
44	559	9383
45	571	9374
46	583	9348
47	595	9323
48	605	9284
49	617	9263
50	629	9240
51	641	9220
52	652	9194
53	663	9165
54	674	9141
55	689	9162
56	702	9159
57	713	9133
58	724	9097
59	738	9109
60	750	9097
61	762	9070
62	774	9062
63	786	9042
64	798	9024
65	809	8999
66	820	8979
67	832	8965
68	843	8936
69	855	8916
70	866	8895
71	877	8871
72	889	8858
73	901	8847
74	913	8830
75	924	8810
76	941	8836
77	953	8827
78	967	8826
79	979	8817
80	997	8854
81	1008	8833
82	1020	8812
83	1031	8794
84	1042	8769
85	1055	8765
86	1068	8760
87	1081	8751
88	1094	8742
89	1108	8742
90	1120	8727
91	1133	8720
92	1146	8718
93	1173	8814
94	1209	8978
95	1223	8972
96	1238	8976
97	1261	9037
98	1274	9026
99	1286	9008
100	1298	8986
101	1311	8972
102	1325	8972
103	1339	8965
104	1350	8940
105	1363	8929
106	1376	8913
107	1390	8909
108	1401	8887
109	1415	8876
110	1428	8870
111	1442	8861
112	1453	8837
113	1466	8822
114	1478	8805
115	1490	8789
116	1502	8771
117	1517	8772
118	1530	8759
119	1542	8742
120	1555	8727
121	1569	8723
122	1581	8703
123	1595	8695
124	1606	8675
125	1618	8657
126	1631	8646
127	1644	8636
128	1658	8625
129	1669	8604
130	1681	8585
131	1694	8573
132	1705	8555
133	1716	8533
134	1728	8515
135	1740	8499
136	1751	8475
137	1762	8457
138	1775	8443
139	1787	8428
140	1799	8412
141	1813	8403
142	1825	8384
143	1835	8362
144	1846	8340
145	1858	8324
146	1869	8305
147	1880	8283
148	1893	8274
149	1905	8256
150	1916	8237
151	1928	8222
152	1940	8207
153	1953	8193
154	1963	8171
155	1975	8155
156	1986	8134
157	1998	8119
158	2009	8101
159	2020	8083
160	2032	8066
161	2044	8052
162	2056	8037
163	2070	8027
164	2081	8009
165	2093	7994
166	2105	7981
167	2116	7960
168	2128	7946
169	2141	7936
170	2155	7928
171	2167	7915
172	2179	7899
173	2193	7891
174	2205	7877
175	2217	7862
176	2230	7849
177	2243	7841
178	2256	7826
179	2268	7812
180	2280	7797
181	2293	7788
182	2309	7786
183	2322	7774
184	2335	7763
185	2350	7757
186	2362	7742
187	2373	7727
188	2384	7709
189	2397	7696
190	2410	7684
191	2422	7671
192	2436	7662
193	2446	7643
194	2458	7626
195	2470	7613
196	2480	7593
197	2494	7584
198	2505	7566
199	2516	7549
200	2528	7534
201	2539	7518
202	2552	7506
203	2563	7488
204	2574	7471
205	2586	7457
206	2597	7442
207	2613	7437
208	2624	7420
209	2635	7404
210	2647	7390
211	2658	7372
212	2670	7359
213	2681	7343
214	2695	7333
215	2705	7316
216	2717	7301
217	2729	7286
218	2740	7269
219	2752	7256
220	2763	7240
221	2774	7224
222	2786	7210
223	2800	7201
224	2813	7189
225	2824	7173
226	2836	7160
227	2849	7148
228	2860	7132
229	2871	7117
230	2883	7103
231	2895	7089
232	2907	7074
233	2919	7061
234	2932	7051
235	2945	7040
236	2956	7023
237	2969	7010
238	2980	6996
239	2992	6983
240	3004	6968
241	3016	6955
242	3027	6939
243	3038	6924
244	3051	6911
245	3061	6894
246	3072	6879
247	3086	6869
248	3098	6856
249	3109	6840
250	3122	6828
251	3133	6813
252	3145	6800
253	3156	6785
254	3167	6769
255	3179	6756
256	3190	6741
257	3202	6727
258	3213	6713
259	3224	6697
260	3237	6685
261	3248	6670
262	3260	6656
263	3270	6641
264	3282	6626
265	3295	6615
266	3307	6601
267	3318	6587
268	3329	6572
269	3342	6560
270	3353	6546
271	3364	6530
272	3377	6519
273	3389	6506
274	3400	6491
275	3411	6477
276	3422	6462
277	3435	6450
278	3446	6435
279	3456	6419
280	3469	6407
281	3480	6393
282	3491	6378
283	3502	6363
284	3514	6350
285	3526	6337
286	3537	6322
287	3549	6309
288	3560	6295
289	3571	6280
290	3583	6268
291	3597	6258
292	3607	6242
293	3618	6228
294	3630	6215
295	3641	6200
296	3651	6184
297	3663	6170
298	3675	6158
299	3689	6148
300	3700	6134
301	3712	6121
302	3724	6109
303	3736	6096
304	3747	6082
305	3760	6070
306	3773	6058
307	3785	6047
308	3797	6034
309	3811	6024
310	3824	6014
311	3836	6000
312	3848	5988
313	3862	5978
314	3873	5964
315	3888	5955
316	3900	5942
317	3911	5928
318	3923	5915
319	3936	5904
320	3947	5891
321	3960	5878
322	3973	5867
323	3986	5856
324	3997	5842
325	4009	5830
326	4021	5816
327	4034	5805
328	4046	5793
329	4058	5780
330	4072	5769
331	4083	5756
332	4095	5743
333	4107	5731
334	4120	5719
335	4132	5707
336	4145	5694
337	4157	5682
338	4168	5668
339	4181	5656
340	4194	5645
341	4206	5632
342	4219	5621
343	4233	5611
344	4246	5600
345	4260	5590
346	4273	5579
347	4286	5567
348	4300	5556
349	4311	5543
350	4323	5531
351	4337	5521
352	4351	5509
353	4363	5497
354	4376	5485
355	4389	5474
356	4401	5461
357	4414	5450
358	4425	5436
359	4437	5423
360	4449	5411
361	4461	5398
362	4473	5385
363	4484	5371
364	4496	5358
365	4507	5345
366	4519	5332
367	4531	5319
368	4542	5306
369	4553	5292
370	4565	5279
371	4577	5266
372	4589	5253
373	4601	5241
374	4612	5227
375	4626	5217
376	4637	5203
377	4648	5190
378	4661	5177
379	4672	5164
380	4685	5153
381	4698	5140
382	4709	5127
383	4720	5113
384	4731	5099
385	4741	5085
386	4753	5072
387	4765	5060
388	4776	5046
389	4788	5033
390	4799	5020
391	4811	5008
392	4823	4995
393	4836	4984
394	4849	4972
395	4861	4959
396	4873	4946
397	4884	4933
398	4895	4920
399	4907	4907
400	4919	4894
401	4930	4881
402	4942	4869
403	4954	4856
404	4966	4843
405	4977	4830
406	4993	4821
407	5004	4808
408	5015	4795
409	5028	4783
410	5038	4769
411	5050	4756
412	5062	4744
413	5075	4732
414	5087	4719
415	5098	4706
416	5111	4694
417	5121	4680
418	5134	4669
419	5147	4657
420	5159	4644
421	5169	4630
422	5183	4619
423	5196	4608
424	5207	4595
425	5220	4582
426	5230	4569
427	5242	4556
428	5253	4543
429	5265	4531
